Ref,Val,Package,PosX,PosY,Rot,Side
"C101","10uF","C_0805",63.260000,-59.410000,90.000000,top
"C117","22uF","C_1210",51.170000,-54.520000,0.000000,top
"C119","47uF low ESR","C_2917",58.300000,-38.270000,0.000000,top
"C120","470nF","C_0805",51.970000,-40.340000,270.000000,top
"C122","470nF","C_0805",39.950000,-45.330000,270.000000,top
"C123","1100pF","C_0805",34.340000,-44.830000,90.000000,top
"C126","1800pF","C_0805",31.380000,-51.530000,0.000000,top
"C128","91pF","C_0603",30.460000,-55.130000,90.000000,top
"C131","1100pF","C_0805",27.640000,-58.610000,180.000000,top
"C202","100nF","C_0805",98.420000,-81.500000,180.000000,top
"C204","100nF","C_0805",107.910000,-57.780000,180.000000,top
"C205","10uF","C_0805",97.260000,-98.280000,180.000000,top
"C206","100nF","C_0805",100.000000,-92.240000,270.000000,top
"C207","270pF","C_0805",94.860000,-79.640000,270.000000,top
"C208","10pF","C_0805",93.760000,-74.560000,0.000000,top
"C209","150uF low ESR","C_2917",110.750000,-95.730000,0.000000,top
"C210","22uF","C_1210",89.630000,-86.600000,0.000000,top
"C211","100nF","C_0805",91.280000,-90.030000,0.000000,top
"C212","100nF","C_0805",78.340000,-93.700000,0.000000,top
"C213","1uF","C_0805",85.600000,-73.730000,90.000000,top
"C214","47uF low ESR","C_2917",90.220000,-93.980000,0.000000,top
"C215","150uF low ESR","C_2917",102.680000,-99.740000,270.000000,top
"C216","10uF","C_0805",108.060000,-69.530000,0.000000,top
"C217","47uF low ESR","C_2917",112.720000,-63.070000,90.000000,top
"C218","10nF","C_0805",120.370000,-71.100000,90.000000,top
"C219","1uF","C_0805",117.640000,-67.170000,0.000000,top
"C301","1uF","C_0805",81.500000,-51.200000,180.000000,top
"C302","100nF","C_0805",64.880000,-84.190000,90.000000,top
"C303","4.7uF","C_0805",35.370000,-70.710000,90.000000,top
"C304","10uF","C_0805",41.680000,-96.530000,0.000000,top
"C305","10uF","C_0805",75.950000,-79.240000,180.000000,top
"C306","100nF","C_0805",59.030000,-74.600000,0.000000,top
"C307","100nF","C_0805",73.670000,-77.110000,180.000000,top
"C308","100nF","C_0805",43.650000,-63.050000,180.000000,top
"C310","470nF","C_0805",45.700000,-70.090000,180.000000,top
"C311","100nF","C_0805",79.080000,-43.870000,0.000000,top
"C312","470nF","C_0805",49.210000,-61.590000,0.000000,top
"C313","4.7uF","C_0805",83.730000,-65.500000,0.000000,top
"C314","4.7uF","C_0805",80.640000,-67.470000,270.000000,top
"C315","4.7uF","C_0805",94.180000,-66.340000,90.000000,top
"C317","4.7uF","C_0805",75.100000,-64.460000,0.000000,top
"C318","4.7uF","C_0805",38.300000,-67.770000,0.000000,top
"C319","100nF","C_0805",62.990000,-94.900000,180.000000,top
"C320","100nF","C_0805",49.500000,-94.910000,0.000000,top
"D101","MBD54","SOT-363-0.65",34.950000,-65.770000,0.000000,top
"D102","4.7V","SOD-123",54.520000,-57.290000,180.000000,top
"D104","ESD","R_0603",34.560000,-63.550000,0.000000,top
"D201","B530","DO-214AB",104.490000,-64.580000,180.000000,top
"D202","B530","DO-214AB",110.550000,-89.240000,0.000000,top
"D301","MBD54","SOT-363-0.65",59.280000,-92.580000,270.000000,top
"D304","GREEN","R_0805",50.800000,-84.480000,0.000000,top
"D305","RED","R_0805",50.800000,-86.830000,0.000000,top
"D306","ESD","R_0603",52.680000,-95.020000,0.000000,top
"D307","ESD","R_0603",54.900000,-94.550000,90.000000,top
"L202","6.8uH","CDR7D28MN",82.530000,-87.100000,315.000000,top
"L203","6.8uH","CDR7D28MN",102.200000,-74.190000,180.000000,top
"Q201","MUN5213DW1","SOT-363-0.65",107.550000,-80.710000,90.000000,top
"Q202","DMP4025LSD","SOIC-8_3.9x4.9mm_Pitch1.27mm",100.690000,-87.470000,180.000000,top
"Q203","RJK0354DSP","SOIC-8_3.9x4.9mm_Pitch1.27mm",112.690000,-81.910000,270.000000,top
"Q301","PN2222A","SOT-23",55.020000,-91.120000,180.000000,top
"R201","162k","R_0805",98.670000,-83.620000,180.000000,top
"R202","49.9k","R_0805",102.000000,-83.620000,0.000000,top
"R203","27k","R_0805",75.880000,-96.700000,180.000000,top
"R204","392k","R_0805",76.610000,-98.760000,0.000000,top
"R205","162k","R_0805",104.650000,-59.830000,0.000000,top
"R206","27k","R_0805",97.470000,-100.360000,0.000000,top
"R207","100k","R_0805",88.410000,-99.100000,270.000000,top
"R208","27k","R_0805",94.160000,-76.670000,0.000000,top
"R209","100k","R_0805",102.730000,-91.420000,0.000000,top
"R210","100k","R_0805",88.090000,-73.520000,90.000000,top
"R211","10k","R_0805",79.670000,-95.910000,180.000000,top
"R212","162k","R_0805",82.970000,-95.890000,180.000000,top
"R213","10k","R_0805",107.910000,-59.830000,0.000000,top
"R214","10k","R_0805",108.240000,-74.370000,180.000000,top
"R215","10k","R_0805",117.430000,-74.050000,180.000000,top
"R216","10k","R_0805",117.490000,-71.810000,180.000000,top
"R217","1.1k","R_0805",108.310000,-71.850000,0.000000,top
"R218","0.01 0.5W","R_0805",116.640000,-81.330000,90.000000,top
"R301","470","R_0805",54.670000,-84.430000,0.000000,top
"R302","470","R_0805",54.670000,-86.800000,0.000000,top
"R303","10k","R_0805",36.200000,-73.640000,0.000000,top
"R304","10","R_0805",55.520000,-81.520000,180.000000,top
"R306","10k","R_0805",30.690000,-82.160000,180.000000,top
"R307","10k","R_0805",23.210000,-82.070000,0.000000,top
"R308","100k","R_0805",71.210000,-90.920000,270.000000,top
"R309","2.2k","R_0805",63.100000,-91.950000,270.000000,top
"R310","10k","R_0805",94.780000,-69.210000,0.000000,top
"R311","10k","R_0805",57.890000,-88.320000,0.000000,top
"R312","560k","R_0805",45.590000,-92.770000,0.000000,top
"R313","100k","R_0805",45.600000,-94.950000,180.000000,top
"R314","560k","R_0805",93.890000,-41.790000,0.000000,top
"R315","10k","R_0805",52.070000,-73.510000,0.000000,top
"R316","10k","R_0805",50.640000,-67.580000,270.000000,top
"RV301","10k Pot","Potentiometer_ST32ET_Handsolder",68.940000,-94.840000,90.000000,top
"SW301","SPST","PTS645SL50SMTR92",43.160000,-85.770000,0.000000,top
"U101","TPS22810DBVT","SOT-23-6",60.050000,-57.420000,180.000000,top
"U107","LM5134B","SOT-23-6-LM5134",46.790000,-55.720000,270.000000,top
"U202","OPA171","SOT-23-5_MCP",93.290000,-99.170000,0.000000,top
"U203","LTC3600","SSOP-12_Pad_Handsolder",87.800000,-79.830000,180.000000,top
"U204","MIC2196","SOIC-8_3.9x4.9mm_Pitch1.27mm",112.910000,-72.300000,90.000000,top
"U301","DS3231","SO16",88.590000,-48.860000,0.000000,top
"U302","AVR128DA48","TQFP-48_7x7mm_Pitch0.5mm_AVR128DA48",66.140000,-76.840000,270.000000,top
"U303","LD2985BM33R","SOT-23-5",38.270000,-70.810000,0.000000,top
"U304","SI5351A","MSOP-10_3x3mm_Pitch0.5mm",47.710000,-65.860000,90.000000,top
"U305","74HC1G08","SOT-23-5",79.090000,-46.740000,0.000000,top
"U306","LT1763CS8-5","SOIC-8_3.9x4.9mm_Pitch1.27mm",89.360000,-67.260000,0.000000,top
"U307","TPS22810DBVT","SOT-23-6",37.550000,-93.870000,180.000000,top
"U308","LD2985BM33R","SOT-23-5",77.960000,-67.450000,90.000000,top
"X301","25.MHZ TCXO","ASTX-H11-25.000MHZ",43.440000,-66.290000,270.000000,top
